parent,code,label,description,gradeFrom,gradeTo,order
A-AIR,A-AIR-IMP,Importance of Air,Understand why air is needed for life,2,3,1
A-AIR,A-AIR-POL,Air Pollution,Identify causes and effects of air pollution,3,4,2
A-AIR,A-AIR-PRO,Air Protection,Ways to keep air clean,4,5,3
A-ANI,A-ANI-TYP,Animal Types,"Classify animals as domestic/wild, vertebrates/invertebrates",1,2,1
A-ANI,A-ANI-HAB,Animal Habitats,Identify where animals live,2,3,2
A-ANI,A-ANI-CAR,Animal Care,Learn how to care for pets and farm animals,3,4,3
A-BDY,A-BDY-PAR,Body Parts,Identify and name body parts,1,2,1
A-BDY,A-BDY-SEN,Senses,Understand five senses and organs,1,3,2
A-BDY,A-BDY-HEA,Health Habits,Learn basic hygiene and healthy habits,2,3,3
A-CIV,A-CIV-RUL,Rules,"Understand rules at home, school and community",1,3,1
A-CIV,A-CIV-RSP,Responsibilities,Learn duties towards family and society,2,4,2
A-CIV,A-CIV-HAB,Good Habits,"Understand civic good habits like cleanliness, punctuality",2,5,3
A-CLI,A-CLI-CLM,Climate Awareness,Understand basic climate and seasonal changes,4,5,1
A-CLI,A-CLI-DIS,Natural Disasters,"Learn about floods, earthquakes, storms",4,6,2
A-CLM,A-CLM-WTH,Weather Elements,"Study temperature, pressure, humidity, wind and rainfall",6,7,1
A-CLM,A-CLM-CLM,Climate Zones,Identify different climate zones and characteristics,7,9,2
A-CLM,A-CLM-GCC,Global Climate Change,Understand causes and impacts of climate change,8,10,3
A-CNS,A-CNS-FOR,Forest Conservation,Understand importance of forests and conservation methods,6,8,1
A-CNS,A-CNS-WTR,Water Conservation,Methods to conserve and manage water resources,6,9,2
A-CNS,A-CNS-WLD,Wildlife Conservation,Protect endangered species and habitats,7,10,3
A-EAR,A-EAR-STR,Earth Structure,"Understand soil, rocks and layers of earth",2,3,1
A-EAR,A-EAR-TYP,Soil Types,Identify types of soil,3,4,2
A-EAR,A-EAR-USE,Soil Uses,Learn uses of soil for farming and plants,4,5,3
A-ENV,A-ENV-PRO,Environmental Protection,Learn ways to protect environment,3,4,1
A-ENV,A-ENV-POL,Pollution Control,"Understand air, water and soil pollution control",3,5,2
A-FOD,A-FOD-TYP,Food Types,Identify different types of food,1,2,1
A-FOD,A-FOD-NUT,Nutrients,Understand nutrients and their benefits,2,3,2
A-FOD,A-FOD-HAB,Healthy Habits,Practice good eating habits,3,4,3
A-HOM,A-HOM-TYP,House Types,Identify different types of houses,1,2,1
A-HOM,A-HOM-MAT,Building Materials,Learn common materials used in houses,2,3,2
A-HUM,A-HUM-IND,Industrial Impact,Study environmental effects of industries and urbanization,7,10,1
A-HUM,A-HUM-AGR,Agricultural Impact,Understand effects of agriculture on environment,7,10,2
A-HUM,A-HUM-SUS,Sustainable Practices,Learn practices for sustainable living,7,10,3
A-HUM,A-HUM-ETH,Environmental Ethics,Develop awareness and responsibility towards environment,7,10,4
A-MEF,A-MEF-FAM,Family Members,Identify family members and their roles,1,2,1
A-MEF,A-MEF-SLF,About Myself,"Understand own body, name, age and feelings",1,2,2
A-MEF,A-MEF-REL,Family Relationships,Describe relationships between family members,1,2,3
A-NEI,A-NEI-HEL,Community Helpers,"Identify helpers like teachers, doctors, policemen",2,3,1
A-NEI,A-NEI-SER,Community Services,Understand services provided by community members,2,4,2
A-PLA,A-PLA-PAR,Plant Parts,"Identify roots, stem, leaves, flowers",1,2,1
A-PLA,A-PLA-GRO,Plant Growth,Observe growth of plants from seeds,2,3,2
A-PLA,A-PLA-IMP,Importance of Plants,Understand role of plants in environment and food,3,4,3
A-POL,A-POL-AIR,Air Pollution,"Identify sources, effects and prevention of air pollution",6,8,1
A-POL,A-POL-WTR,Water Pollution,Understand water pollution and control measures,6,9,2
A-POL,A-POL-SLD,Solid Waste,Study types and management of solid waste,7,10,3
A-POL,A-POL-NSE,Noise Pollution,Understand causes and prevention of noise pollution,7,10,4
A-RES,A-RES-NAT,Natural Resources,"Identify water, soil, plants and minerals as resources",3,4,1
A-RES,A-RES-CNS,Resource Conservation,Learn ways to conserve natural resources,3,5,2
A-SAF,A-SAF-PER,Personal Safety,Learn rules for safety at home and school,3,4,1
A-SAF,A-SAF-FAD,First Aid,Learn basic first aid for minor injuries,3,5,2
A-TRA,A-TRA-MNS,Means of Transport,Identify different modes of transport,2,3,1
A-TRA,A-TRA-COM,Communication,Understand ways people communicate,2,4,2
A-WAT,A-WAT-USE,Uses of Water,Identify uses of water at home and school,2,3,1
A-WAT,A-WAT-SRC,Water Sources,Identify sources of water like rivers and wells,2,4,2
A-WAT,A-WAT-CNS,Water Conservation,Learn ways to save water,3,5,3
A-WEA,A-WEA-SEA,Seasons,Identify seasons and their features,2,3,1
A-WEA,A-WEA-WTH,Weather Changes,Observe daily weather changes,2,4,2
A-WRK,A-WRK-JOB,Jobs,Identify different types of jobs,2,3,1
A-WRK,A-WRK-OCC,Occupations,Understand roles in society,2,4,2
B-ANI,B-ANI-CLF,Animal Classification,Classify animals based on phylum and characteristics,6,8,1
B-ANI,B-ANI-REP,Animal Reproduction,Reproduction methods in animals,7,9,2
B-ANI,B-ANI-FUN,Animal Functions,"Understand feeding, locomotion and other functions",7,9,3
B-CEL,B-CEL-IDN,Identify Cell Parts,"Recognize nucleus, cytoplasm, membrane and other organelles",6,7,1
B-CEL,B-CEL-FUN,Cell Functions,Describe functions of different cell organelles,6,7,2
B-CEL,B-CEL-CMP,Compare Cells,Compare plant and animal cells,7,7,3
B-ECO,B-ECO-INT,Ecosystem Interactions,"Understand producers, consumers and decomposers",7,8,1
B-ECO,B-ECO-FCH,Food Chains,Draw and explain food chains,7,9,2
B-ECO,B-ECO-FWB,Food Webs,Draw and interpret food webs,8,10,3
B-GEN,B-GEN-TRA,Traits,Understand inherited and acquired traits,8,9,1
B-GEN,B-GEN-DNA,DNA Basics,Structure and function of DNA,8,10,2
B-GEN,B-GEN-HER,Heredity,Introduction to inheritance and simple Mendelian rules,9,10,3
B-HUM,B-HUM-NUT,Nutrition,"Study nutrients, balanced diet and digestion",7,8,1
B-HUM,B-HUM-DIS,Diseases,"Identify common diseases, causes and prevention",7,9,2
B-HUM,B-HUM-HYG,Hygiene,Maintain personal and environmental hygiene,7,10,3
B-HUM,B-HUM-FAD,First Aid,Basic first aid for minor injuries,8,10,4
B-ORG,B-ORG-CIR,Circulatory System,"Understand heart, blood vessels, and blood",7,9,1
B-ORG,B-ORG-DIG,Digestive System,Understand structure and function of digestive organs,7,9,2
B-ORG,B-ORG-RES,Respiratory System,"Understand lungs, breathing and oxygen exchange",7,9,3
B-ORG,B-ORG-EXC,Excretory System,Understand kidney and excretion process,7,10,4
B-ORG,B-ORG-NSY,Nervous System,"Structure and function of brain, spinal cord, nerves",8,10,5
B-PLT,B-PLT-STR,Plant Structure,"Roots, stem, leaves and their functions",6,7,1
B-PLT,B-PLT-REP,Plant Reproduction,Sexual and asexual reproduction in plants,7,9,2
B-PLT,B-PLT-GRO,Plant Growth,Factors affecting plant growth,7,9,3
B-TIS,B-TIS-PLT,Plant Tissues,"Identify parenchyma, collenchyma, sclerenchyma",6,8,1
B-TIS,B-TIS-ANI,Animal Tissues,"Identify epithelial, muscular, connective and nervous tissues",6,8,2
C-ACD,C-ACD-IDN,Identify Acids & Bases,Recognize common acids and bases,7,8,1
C-ACD,C-ACD-PRO,Properties,"Test pH, taste, and reactions of acids/bases",7,9,2
C-ACD,C-ACD-NEU,Neutralization,Perform neutralization reactions,8,10,3
C-ATM,C-ATM-IDN,Identify Atoms,Understand basic atomic structure,6,7,1
C-ATM,C-ATM-SYM,Atomic Symbols,Write symbols for elements,6,8,2
C-ATM,C-ATM-MOL,Molecules,Identify molecules and chemical formulas,7,8,3
C-ENE,C-ENE-EXO,Exothermic Reactions,Identify reactions that release heat,8,10,1
C-ENE,C-ENE-END,Endothermic Reactions,Identify reactions that absorb heat,8,10,2
C-MAT,C-MAT-IDN,Identify States of Matter,"Identify solids, liquids and gases",6,7,1
C-MAT,C-MAT-PRP,Properties of Matter,Observe and describe physical properties,6,7,2
C-MAT,C-MAT-CLF,Classify Matter,"Classify matter as elements, compounds or mixtures",6,7,3
C-MAT,C-MAT-CHG,Change of State,"Describe melting, freezing, evaporation, condensation",6,7,4
C-MET,C-MET-IDN,Identify Metals & Nonmetals,Recognize metals and nonmetals,7,8,1
C-MET,C-MET-REA,Reaction with Acid,Observe reactions with acids,7,9,2
C-MET,C-MET-COR,Corrosion,Understand and prevent corrosion,8,10,3
C-ORG,C-ORG-IDN,Carbon Compounds,Identify simple carbon compounds,8,9,1
C-ORG,C-ORG-HYD,Hydrocarbons,"Classify alkanes, alkenes and alkynes",8,10,2
C-REA,C-REA-IDN,Identify Reactions,Classify reactions into types,7,8,1
C-REA,C-REA-BAL,Balance Equations,Balance simple chemical equations,7,9,2
C-REA,C-REA-OBS,Observation of Reactions,Observe physical and chemical changes,8,10,3
C-SOL,C-SOL-IDN,Types of Solutions,"Identify solid, liquid and gaseous solutions",7,8,1
C-SOL,C-SOL-SOL,Solubility,Determine solubility of substances in solvents,7,9,2
C-SOL,C-SOL-CON,Concentration,Calculate concentration of solutions,8,10,3
C-STR,C-STR-PTC,Particles in Matter,Understand particle model of matter,6,7,1
C-STR,C-STR-ATM,Atomic Theory,Explain basic atomic theory,7,8,2
C-STR,C-STR-FML,Chemical Formulas,Write and interpret chemical formulas,8,9,3
E-ADJ,E-ADJ-IDF,Identify Adjectives,Recognize adjectives in sentences,3,5,1
E-ADJ,E-ADJ-USE,Use Adjectives,Use adjectives correctly in sentences,4,6,2
E-ADV,E-ADV-IDF,Identify Adverbs,Recognize adverbs in sentences,4,6,1
E-ADV,E-ADV-USE,Use Adverbs,Use adverbs correctly in sentences,5,7,2
E-ALN,E-ALN-IDV,Identify Letters,Identify letters of the alphabet,1,1,1
E-ALN,E-ALN-VWL,Vowels,Recognize vowels in words,1,2,2
E-ALN,E-ALN-CNS,Consonants,Recognize consonants in words,1,2,3
E-ART,E-ART-IDF,Identify Articles,"Recognize articles a, an, the",3,5,1
E-ART,E-ART-USE,Use Articles,Use articles correctly in sentences,4,6,2
E-CNV,E-CNV-IDF,Conventions,"Capitalization, spelling, and common writing rules",3,6,1
E-CNV,E-CNV-ERR,Correct Errors,Correct common grammar errors,4,8,2
E-CON,E-CON-IDF,Identify Conjunctions,Recognize conjunctions in sentences,4,6,1
E-CON,E-CON-USE,Use Conjunctions,Use conjunctions correctly to join words or sentences,5,7,2
E-INT,E-INT-IDF,Identify Interjections,Recognize interjections in sentences,5,7,1
E-INT,E-INT-USE,Use Interjections,Use interjections correctly in sentences,6,8,2
E-PHR,E-PHR-IDF,Identify Phrases,Recognize phrases in sentences,6,8,1
E-PHR,E-PHR-USE,Use Phrases,Use phrases correctly in sentences,7,9,2
E-PRE,E-PRE-IDF,Identify Prepositions,Recognize prepositions in sentences,4,6,1
E-PRE,E-PRE-USE,Use Prepositions,Use prepositions correctly in sentences,5,7,2
E-PRN,E-PRN-PER,Personal Pronouns,Identify and use personal pronouns,3,5,1
