topic_id,order,type,title,content
488,1,D,Motion,"Motion is the change in position of an object with respect to time and a chosen reference point."
488,2,K,Reference Point,"Motion is always described relative to a reference point or observer. An object may appear at rest to one observer and in motion to another."
488,3,K,Motion Depends on Time,"If the position of an object changes with time relative to a reference point, the object is said to be in motion."
488,4,E,Examples,"A moving car on a road, flying birds, flowing water in a river, rotating fan blades, and a swinging pendulum are all examples of motion."
488,5,L,Types of Motion,"Translational Motion, Rectilinear Motion, Circular Motion, Rotational Motion, Periodic Motion, Oscillatory Motion, Random Motion"
488,6,K,Rest and Motion,"An object is said to be at rest if its position does not change with time relative to a chosen reference point."
488,7,K,Observer Dependence,"The state of rest or motion of an object depends on the observer and the chosen frame of reference."
488,8,K,Path of Motion,"The path followed by a moving object can be straight, circular, or irregular depending on the nature of motion."
488,9,K,Importance of Motion,"Understanding motion is essential for studying speed, velocity, acceleration, force, and laws of motion."
488,10,R,Remember,"Motion is relative, not absolute. Always mention the reference point while describing motion."

489,1,D,Translational Motion,"Motion in which the entire object moves from one place to another and every point of the object covers the same distance in the same direction."
489,2,K,Whole Body Motion,"In translational motion, all parts of the object move together."
489,3,E,Example,"A car moving along a straight road shows translational motion."

490,1,D,Rectilinear Motion,"Motion in which an object moves along a straight-line path."
490,2,K,Straight Path,"The direction of motion does not change in rectilinear motion."
490,3,E,Example,"A stone falling vertically downward shows rectilinear motion."

491,1,D,Circular Motion,"Motion in which an object moves along a circular path around a fixed centre."
491,2,K,Fixed Radius,"The distance of the object from the centre remains constant."
491,3,E,Example,"The hands of a clock moving around the dial show circular motion."

492,1,D,Rotational Motion,"Motion in which an object rotates about a fixed axis."
492,2,K,Axis of Rotation,"Different points of the object move in circular paths around the axis."
492,3,E,Example,"A ceiling fan rotating about its central rod shows rotational motion."

493,1,D,Periodic Motion,"Motion that repeats itself at equal intervals of time."
493,2,K,Repeating Motion,"The time after which motion repeats is called the time period."
493,3,E,Example,"The motion of a swinging pendulum is periodic motion."

494,1,D,Oscillatory Motion,"To and fro motion of an object about its mean position, repeated at regular intervals."
494,2,K,Mean Position,"The object moves alternately on either side of the mean position."
494,3,E,Example,"The motion of a simple pendulum is oscillatory motion."

495,1,D,Random Motion,"Irregular motion in which an object does not follow a fixed path."
495,2,K,Irregular Path,"The direction and speed of motion change randomly."
495,3,E,Example,"The motion of gas molecules in air is random motion."

496,1,D,Distance,"Distance is the total length of the actual path travelled by an object during motion."
496,2,K,Path Dependent,"Distance depends on the actual path followed by the object."
496,3,R,Scalar Quantity,"Distance is a scalar quantity and is always positive."
496,4,E,Example,"If a person walks 5 m east and 5 m west, the total distance covered is 10 m."

497,1,D,Displacement,"Displacement is the shortest straight-line distance between the initial and final positions of an object."
497,2,K,Shortest Distance,"Displacement depends only on initial and final positions."
497,3,R,Vector Quantity,"Displacement is a vector quantity as it has both magnitude and direction."
497,4,E,Example,"If a person walks 5 m east and returns to the starting point, displacement is zero."
