"master","order","label","description","avatar","protected","meta"
"H",1,"Unlimited Questions","Explore an ever-expanding collection of questions across topics to strengthen every learning concept.","swipe-img-1.png",,
"H",2,"Unlimited Worksheets","Create and practice from countless dynamic worksheets designed to enhance understanding and retention.","swipe-img-2.png",,
"H",3,"Unlimited Downloads","Download notes, study materials, and worksheets anytime to continue learning even when offline.","swipe-img-3.png",,
"H",4,"Progress Tracking","Stay informed about your learning journey with detailed progress charts, insights, and performance data.","swipe-img-1.png",,
"H",5,"Performance Reports","Access detailed academic reports that highlight strengths, weak areas, and personalized growth insights.","swipe-img-2.png",,
"H",6,"Academic Syllabus","Covers the entire academic curriculum with topic-wise alignment to national and state board standards.","swipe-img-3.png",,
"H",7,"Quick Revisions","Revise faster using summarized notes, flash quizzes, and topic recaps designed for last-minute learning.","swipe-img-1.png",,
"F",1,"Worksheets","Interactive and printable worksheets crafted to build problem-solving skills and strengthen core concepts.","document-text-outline.svg",,
"F",2,"Quizzes","Engaging quizzes to evaluate understanding, boost recall, and make learning more fun and competitive.","game-controller-outline.svg",,
"F",3,"Tests","Structured assessments that measure your academic progress and help track improvement over time.","alarm-outline.svg",,
"F",4,"Notes","Well-organized notes, reference guides, and summaries to support deep understanding and quick revision.","create-outline.svg",,
"F",5,"Boards","Interactive video classes guided by expert educators to make every lesson engaging and easy to grasp.","easel-outline.svg",,
"S",1,"subjects",,"10+",,
"S",2,"units",,"200+",,
"S",3,"topics",,"3K+",,
"S",4,"exercises",,"10M+",,
"D",1,"Students","Personalized study tools, tests, and analytics crafted to help students achieve better academic results.","school-outline.svg",,
"D",2,"Parents","Stay involved by monitoring your child’s academic progress and offering meaningful learning support.","people-outline.svg",,
"D",3,"Teachers","Access digital teaching aids, class tracking tools, and performance reports to guide your students well.","briefcase-outline.svg",,
"D",4,"Job Seekers","Prepare effectively for competitive exams with tailored aptitude, reasoning, and subject practice sets.","search-outline.svg",,
"D",5,"Schools","Enable smart classrooms with integrated learning tools, reports, and digital management dashboards.","business-outline.svg",,
"D",6,"Tutorials","Comprehensive digital content and analytics support to strengthen your institute’s learning outcomes.","library-outline.svg",,
"D",7,"Institutions","Centralized dashboards and analytics designed to manage academic content and learner performance.","layers-outline.svg",,
"B",1,"Challenges","Participate in learning challenges that inspire competition, consistency, and academic excellence.",,,
"B",2,"Practices","Engage in regular practice sessions to strengthen conceptual clarity and improve problem-solving speed.",,,
"B",3,"Certifications","Earn recognized certificates that validate your progress, achievements, and subject mastery levels.",,,
"B",4,"Awards","Celebrate milestones and receive digital awards for outstanding participation and performance results.",,,
"B",5,"Careers","Access resources and insights to explore career paths, skill development, and professional guidance.",,,
"B",6,"Custom PDFs","Generate personalized PDF notes, tests, and worksheets tailored to your study preferences and goals.",,,
"B",7,"Analytics","Dive into smart analytics and visual reports that help identify trends, growth, and learning patterns.",,,
"B",8,"Assignments","Receive, manage, and submit assignments efficiently with automated grading and feedback support.",,,
"B",9,"Exams","Take simulated online exams to test preparedness and build confidence before real assessments begin.",,,
"B",10,"Question Banks","Access categorized question banks across subjects for quick practice and comprehensive preparation.",,,
"B",11,"Notes","Organized, easy-to-read notes that summarize key concepts for better understanding and faster revision.",,,
"B",12,"Reasoning","Sharpen logical thinking and analytical reasoning skills essential for aptitude and competitive tests.",,,
"B",13,"Aptitude","Develop problem-solving and reasoning speed with aptitude-based challenges and concept-driven tests.",,,
"A",1,"dashboard",,"grid.svg",true,
"A",2,"privacy policy",,"lock-closed.svg",,
"A",3,"terms and conditions",,"shield-checkmark.svg",,
"A",4,"contact us",,"call.svg",,
"P",1,"Popular",,"star-outline.svg",false,"[""Unlimited Worksheets"", ""Unlimited Games"", ""Limited Profiles"", ""Non-customizable PDFs"", ""Customizable PDFs""]"
"P",2,"Advance",,"rocket-outline.svg",false,"[""Unlimited Worksheets"", ""Unlimited Games"", ""Unlimited Exams"", ""Unlimited Profiles"", ""Customizable PDFs""]"
"P",3,"Enterprise",,"business-outline.svg",false,"[""Unlimited Worksheets"", ""Unlimited Games"", ""Unlimited Exams"", ""Unlimited Profiles"", ""Customizable PDFs""]"
